OrderID,Date,Product,Region,Quantity,UnitPrice
1001,2026-01-05,Laptop,Ontario,2,950
1002,2026-01-08,Monitor,Ontario,3,240
1003,2026-01-12,Keyboard,Quebec,5,75
1004,2026-01-18,Laptop,Alberta,1,950
1005,2026-02-03,Mouse,Ontario,8,35
1006,2026-02-10,Monitor,Quebec,4,240
1007,2026-02-15,Laptop,Quebec,2,950
1008,2026-02-21,Keyboard,Alberta,6,75
1009,2026-03-02,Monitor,Ontario,5,240
1010,2026-03-07,Mouse,Alberta,10,35
1011,2026-03-14,Laptop,Ontario,3,950
1012,2026-03-20,Keyboard,Quebec,7,75
1013,2026-04-04,Monitor,Alberta,3,240
1014,2026-04-11,Mouse,Quebec,9,35
1015,2026-04-19,Laptop,Alberta,2,950
1016,2026-05-06,Keyboard,Ontario,8,75
1017,2026-05-13,Monitor,Quebec,6,240
1018,2026-05-22,Mouse,Ontario,12,35
1019,2026-06-03,Laptop,Quebec,1,950
1020,2026-06-17,Monitor,Ontario,4,240
